PM10,NO2,SO2,PM2.5,CO,O3
281.93,32.89,19.4,91.08,0.43,41.83
221.6,43.08,17.72,68.58,0.28,23.48
247.94,44.32,20.08,67.79,0.28,16.39
340.41,64.82,27.63,99.82,0.45,32.41
354.67,40.91,13.48,93.5,0.73,27.85
155.16,31.02,12.98,44.01,0.33,22.92
202.24,47.42,16.95,93.85,0.55,24.33
253.36,36.01,18.82,89.56,0.32,29.78
180.59,37.63,23.4,101.93,0.27,53.75
336.75,55.31,17.05,114.65,0.76,25.8
217.31,51.38,19.38,45.2,0.71,57.62
286.55,43.2,20.62,75.89,0.52,45.91
181.39,45.99,27.05,36.7,0.56,54.53
213.13,51.9,22.5,79.82,0.64,35.9
217.98,38.44,16.75,51.19,0.83,43.78
267.99,41.07,16.09,70.08,0.72,52.86
162.81,24.04,14.83,27.54,0.48,64.86
168.7,24.25,17.84,19.54,0.21,74.29
198.67,59.48,21.63,52.12,0.86,38.98
318.52,53.84,28.05,125.03,1.12,49.23
213.09,50.01,6.76,60.13,0.36,34.38
222.6,51.18,11.3,67.27,0.63,37.74
258.11,55.51,12.33,83.74,0.48,44.42
241.36,48.7,22.59,67.03,0.92,40.42
245.27,40.36,20.29,63.85,0.91,31.73
154.72,29.56,20.69,36.77,0.63,40.7
160.04,36.11,29.72,39.12,0.72,39.44
149.48,31.54,31.05,41.41,0.42,37.09
162.9,35.09,29.09,57.94,0.59,39.4
133.15,28.44,19.34,35.38,0.58,36.15
184.35,34.43,16.77,54.08,0.59,26.05
190.54,43.8,28.1,54.07,0.93,47.74
227.74,38.47,27.59,72.39,0.91,45.12
200.15,43.61,19.62,37.38,0.66,47.76
101.13,29.36,20.97,42.14,0.58,32.22
163.79,29.58,26.28,67.46,1.07,61.7
69.94,16.52,21.13,20.12,0.47,26.17
57.04,11.75,20.76,23.69,0.46,29.58
149.93,34.72,13.35,46.79,0.67,48.68
51.39,14.46,15.85,15.94,0.44,38.08
187.78,20.68,20.33,61.28,0.47,44.95
147.6,24.03,17.97,44.25,0.65,47.29
176.26,34.29,11.53,58.24,0.58,58.57
122.64,32.83,21.84,37.77,0.39,61.83
42.62,19.14,12.66,15.66,0.45,32.32
